id,id,fdc_id,seq_num,amount,measure_unit_id,portion_description,modifier,gram_weight
25217,267886,2340777,5.0,,9999,Quantity not specified,90000,244.0
25218,267887,2340778,1.0,,9999,1 cup,10205,252.0
25219,267888,2340778,2.0,,9999,1 fl oz,30000,31.5
25220,267889,2340778,3.0,,9999,Quantity not specified,90000,16.0
25221,267890,2340778,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25222,267891,2340778,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25223,267892,2340778,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25224,267893,2340779,1.0,,9999,1 cup,10205,252.0
25225,267894,2340779,2.0,,9999,1 fl oz,30000,31.5
25226,267895,2340779,3.0,,9999,Quantity not specified,90000,16.0
25227,267896,2340779,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25228,267897,2340779,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25229,267898,2340779,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25230,267899,2340780,1.0,,9999,1 cup,10205,252.0
25231,267900,2340780,2.0,,9999,1 fl oz,30000,31.5
25232,267901,2340780,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25233,267902,2340780,7.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25234,267903,2340780,8.0,,9999,Quantity not specified,90000,16.0
25235,267904,2340781,1.0,,9999,1 cup,10205,252.0
25236,267905,2340781,2.0,,9999,1 fl oz,30000,31.5
25237,267906,2340781,3.0,,9999,Quantity not specified,90000,16.0
25238,267907,2340781,4.0,,9999,Guideline amount per fl oz of beverage,63480,2.6
25239,267908,2340781,5.0,,9999,"Quantity not specified, as a drink or on cereal",90002,126.0
25240,267909,2340781,6.0,,9999,"Quantity not specified, if in beverage",90005,16.0
25241,267910,2340782,1.0,,9999,1 cup,10205,304.0
25242,267911,2340782,2.0,,9999,1 fl oz,30000,38.0
25243,267912,2340782,3.0,,9999,Quantity not specified,90000,19.0
25244,267913,2340783,1.0,,9999,1 cup,10205,244.0
25245,267914,2340783,2.0,,9999,1 fl oz,30000,30.5
25246,267915,2340783,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25247,267916,2340783,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25248,267917,2340783,5.0,,9999,Quantity not specified,90000,244.0
25249,267918,2340784,1.0,,9999,1 cup,10205,244.0
25250,267919,2340784,2.0,,9999,1 fl oz,30000,30.5
25251,267920,2340784,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25252,267921,2340784,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25253,267922,2340784,5.0,,9999,Quantity not specified,90000,244.0
25254,267923,2340785,1.0,,9999,1 cup,10205,244.0
25255,267924,2340785,2.0,,9999,1 fl oz,30000,30.5
25256,267925,2340785,3.0,,9999,Quantity not specified,90000,244.0
25257,267926,2340786,1.0,,9999,1 cup,10205,244.0
25258,267927,2340786,2.0,,9999,1 fl oz,30000,30.5
25259,267928,2340786,3.0,,9999,Quantity not specified,90000,244.0
25260,267929,2340787,1.0,,9999,1 cup,10205,244.0
25261,267930,2340787,2.0,,9999,1 fl oz,30000,30.5
25262,267931,2340787,3.0,,9999,Quantity not specified,90000,244.0
25263,267932,2340788,1.0,,9999,1 cup,10205,244.0
25264,267933,2340788,2.0,,9999,1 fl oz,30000,30.5
25265,267934,2340788,3.0,,9999,Quantity not specified,90000,244.0
25266,267935,2340789,1.0,,9999,1 cup,10205,244.0
25267,267936,2340789,2.0,,9999,1 fl oz,30000,30.5
25268,267937,2340789,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25269,267938,2340789,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25270,267939,2340789,5.0,,9999,Quantity not specified,90000,244.0
25271,267940,2340790,1.0,,9999,1 cup,10205,244.0
25272,267941,2340790,2.0,,9999,1 fl oz,30000,30.5
25273,267942,2340790,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25274,267943,2340790,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25275,267944,2340790,5.0,,9999,Quantity not specified,90000,244.0
25276,267945,2340791,1.0,,9999,1 cup,10205,244.0
25277,267946,2340791,2.0,,9999,1 fl oz,30000,30.5
25278,267947,2340791,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25279,267948,2340791,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25280,267949,2340791,5.0,,9999,Quantity not specified,90000,244.0
25281,267950,2340792,1.0,,9999,1 cup,10205,244.0
25282,267951,2340792,2.0,,9999,1 fl oz,30000,30.5
25283,267952,2340792,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25284,267953,2340792,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25285,267954,2340792,5.0,,9999,Quantity not specified,90000,244.0
25286,267955,2340793,1.0,,9999,1 cup,10205,244.0
25287,267956,2340793,2.0,,9999,1 fl oz,30000,30.5
25288,267957,2340793,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25289,267958,2340793,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25290,267959,2340793,5.0,,9999,Quantity not specified,90000,244.0
25291,267960,2340794,1.0,,9999,1 cup,10205,244.0
25292,267961,2340794,2.0,,9999,1 fl oz,30000,30.5
25293,267962,2340794,3.0,,9999,Guideline amount per fl oz of beverage,63480,2.5
25294,267963,2340794,4.0,,9999,Guideline amount per cup of hot cereal,63546,61.0
25295,267964,2340794,5.0,,9999,Quantity not specified,90000,244.0
25296,267965,2340795,1.0,,9999,1 4 oz container,64638,113.0
25297,267966,2340795,2.0,,9999,1 6 oz container,60039,170.0
25298,267967,2340795,3.0,,9999,"1 container, NFS",60598,170.0
25299,267968,2340795,4.0,,9999,1 cup,10205,245.0
25300,267969,2340795,5.0,,9999,Quantity not specified,90000,170.0
25301,267970,2340796,1.0,,9999,1 5.3 oz container,64562,150.0
25302,267971,2340796,2.0,,9999,1 6 oz container,60039,170.0
25303,267972,2340796,3.0,,9999,"1 container, NFS",60598,150.0
25304,267973,2340796,4.0,,9999,1 cup,10205,245.0
25305,267974,2340796,5.0,,9999,Quantity not specified,90000,150.0
25306,267975,2340797,1.0,,9999,1 4 oz container,64638,113.0
25307,267976,2340797,2.0,,9999,1 6 oz container,60039,170.0
25308,267977,2340797,3.0,,9999,"1 container, NFS",60598,170.0
25309,267978,2340797,4.0,,9999,1 cup,10205,245.0
25310,267979,2340797,9.0,,9999,Quantity not specified,90000,170.0
25311,267980,2340798,1.0,,9999,1 4 oz container,64638,113.0
25312,267981,2340798,2.0,,9999,1 6 oz container,60039,170.0
25313,267982,2340798,3.0,,9999,"1 container, NFS",60598,170.0
25314,267983,2340798,4.0,,9999,1 cup,10205,245.0
25315,267984,2340798,7.0,,9999,Quantity not specified,90000,170.0
25316,267985,2340799,1.0,,9999,1 4 oz container,64638,113.0
25317,267986,2340799,2.0,,9999,1 6 oz container,60039,170.0
25318,267987,2340799,3.0,,9999,"1 container, NFS",60598,170.0
25319,267988,2340799,4.0,,9999,1 cup,10205,245.0
25320,267989,2340799,7.0,,9999,Quantity not specified,90000,170.0
25321,267990,2340800,1.0,,9999,1 4 oz container,64638,113.0
25322,267991,2340800,2.0,,9999,1 6 oz container,60039,170.0
25323,267992,2340800,3.0,,9999,"1 container, NFS",60598,170.0
25324,267993,2340800,4.0,,9999,1 cup,10205,245.0
25325,267994,2340800,7.0,,9999,Quantity not specified,90000,170.0
25326,267995,2340801,1.0,,9999,1 4 oz container,64638,113.0
25327,267996,2340801,2.0,,9999,1 6 oz container,60039,170.0
25328,267997,2340801,3.0,,9999,"1 container, NFS",60598,170.0
25329,267998,2340801,4.0,,9999,1 cup,10205,245.0
25330,267999,2340801,7.0,,9999,Quantity not specified,90000,170.0
25331,268000,2340802,1.0,,9999,1 5.3 oz container,64562,150.0
25332,268001,2340802,2.0,,9999,1 6 oz container,60039,170.0
25333,268002,2340802,3.0,,9999,"1 container, NFS",60598,150.0
25334,268003,2340802,4.0,,9999,1 cup,10205,245.0
25335,268004,2340802,5.0,,9999,Quantity not specified,90000,150.0
25336,268005,2340803,1.0,,9999,1 5.3 oz container,64562,150.0
25337,268006,2340803,2.0,,9999,1 6 oz container,60039,170.0
25338,268007,2340803,3.0,,9999,"1 container, NFS",60598,150.0
25339,268008,2340803,4.0,,9999,1 cup,10205,245.0
25340,268009,2340803,6.0,,9999,Quantity not specified,90000,150.0
25341,268010,2340804,1.0,,9999,1 5.3 oz container,64562,150.0
25342,268011,2340804,2.0,,9999,1 6 oz container,60039,170.0
25343,268012,2340804,3.0,,9999,"1 container, NFS",60598,150.0
25344,268013,2340804,4.0,,9999,1 cup,10205,245.0
25345,268014,2340804,6.0,,9999,Quantity not specified,90000,150.0
25346,268015,2340805,1.0,,9999,1 5.3 oz container,64562,150.0
25347,268016,2340805,2.0,,9999,1 6 oz container,60039,170.0
25348,268017,2340805,3.0,,9999,"1 container, NFS",60598,150.0
25349,268018,2340805,4.0,,9999,1 cup,10205,245.0
25350,268019,2340805,6.0,,9999,Quantity not specified,90000,150.0
25351,268020,2340806,1.0,,9999,1 4 oz container,64638,113.0
