id,fdc_id,nutrient_id,amount
399,172178.0,1079,0.0
400,172178.0,1087,388.0
401,172178.0,1089,0.33
402,172178.0,1090,20.0
403,172178.0,1091,347.0
404,172178.0,1092,187.0
405,172178.0,1093,842.0
406,172178.0,1095,2.38
407,172178.0,1098,0.021
408,172178.0,1103,14.5
410,172178.0,1106,241.0
413,172178.0,1109,0.21
414,172178.0,1114,0.4
416,172178.0,1122,0.0
417,172178.0,1123,0.0
418,172178.0,1162,0.0
419,172178.0,1165,0.028
420,172178.0,1166,0.488
421,172178.0,1167,0.63
422,172178.0,1175,0.227
423,172178.0,1177,62.0
424,172178.0,1178,1.3
425,172178.0,1180,15.4
426,172178.0,1185,2.0
430,172178.0,1242,0.0
431,172178.0,1246,0.0
432,172178.0,1253,72.0
433,172178.0,1258,15.259
446,172178.0,1272,0.0
450,172178.0,1278,0.0
453,172178.0,1292,7.023
454,172178.0,1293,0.724
455,328637.0,1003,23.3
456,328637.0,1004,34.0
457,328637.0,1005,2.44
458,328637.0,1008,408.0
460,328637.0,1051,36.6
464,173414.0,1079,0.0
465,328637.0,1087,707.0
466,328637.0,1089,0.16
467,328637.0,1090,26.8
468,328637.0,1091,458.0
469,328637.0,1092,77.0
470,328637.0,1093,654.0
471,328637.0,1095,3.67
472,328637.0,1098,0.033
473,328637.0,1103,28.3
475,328637.0,1106,316.0
478,328637.0,1109,0.75
479,173414.0,1114,0.6
481,173414.0,1122,0.0
482,173414.0,1123,0.0
483,173414.0,1162,0.0
484,328637.0,1165,0.029
485,328637.0,1166,0.441
486,328637.0,1167,0.052
487,328637.0,1175,0.069
488,328637.0,1177,21.0
489,328637.0,1178,1.06
490,173414.0,1180,16.5
491,328637.0,1185,2.4
497,328637.0,1253,100.0
498,328637.0,1258,19.2
511,328637.0,1272,0.001
515,328637.0,1278,0.01
518,328637.0,1292,7.44
519,328637.0,1293,1.18
520,173416.0,1003,23.76
521,173416.0,1004,32.11
522,173416.0,1005,2.57
523,173416.0,1008,394.0
525,173416.0,1051,38.2
529,173416.0,1079,0.0
530,173416.0,1087,685.0
531,173416.0,1089,0.76
532,173416.0,1090,26.0
533,173416.0,1091,457.0
534,173416.0,1092,127.0
535,173416.0,1093,604.0
536,173416.0,1095,3.07
537,173416.0,1098,0.042
538,173416.0,1103,14.5
540,173416.0,1106,264.0
543,173416.0,1109,0.28
544,173416.0,1114,0.6
546,173416.0,1122,0.0
547,173416.0,1123,0.0
548,173416.0,1162,0.0
549,173416.0,1165,0.015
550,173416.0,1166,0.375
551,173416.0,1167,0.093
552,173416.0,1175,0.079
553,173416.0,1177,18.0
554,173416.0,1178,0.83
555,173416.0,1180,15.4
556,173416.0,1185,2.7
560,173416.0,1242,0.0
561,173416.0,1246,0.0
562,173416.0,1253,95.0
563,173416.0,1258,20.218
576,173416.0,1272,0.0
580,173416.0,1278,0.0
583,173416.0,1292,9.28
584,173416.0,1293,0.953
585,172179.0,1003,11.12
586,172179.0,1004,4.3
587,172179.0,1005,3.38
588,172179.0,1008,98.0
590,172179.0,1051,79.79
594,172179.0,1079,0.0
595,172179.0,1087,83.0
596,172179.0,1089,0.07
597,172179.0,1090,8.0
598,172179.0,1091,159.0
599,172179.0,1092,104.0
600,172179.0,1093,315.0
601,172179.0,1095,0.4
602,172179.0,1098,0.029
603,172179.0,1103,9.7
605,172179.0,1106,37.0
608,172179.0,1109,0.08
609,172179.0,1114,0.1
611,172179.0,1122,0.0
612,172179.0,1123,0.0
613,172179.0,1162,0.0
614,172179.0,1165,0.027
615,172179.0,1166,0.163
616,172179.0,1167,0.099
617,172179.0,1175,0.046
618,172179.0,1177,12.0
619,172179.0,1178,0.43
620,172179.0,1180,18.4
621,172179.0,1185,0.0
625,172179.0,1242,0.0
626,172179.0,1246,0.0
627,172179.0,1253,17.0
628,172179.0,1258,1.718
641,172179.0,1272,0.0
645,172179.0,1278,0.0
648,172179.0,1292,0.778
649,172179.0,1293,0.123
650,172181.0,1003,10.34
651,172181.0,1004,0.29
652,172181.0,1005,6.66
653,172181.0,1008,72.0
655,172181.0,1051,81.01
659,172181.0,1079,0.0
660,172181.0,1087,86.0
661,172181.0,1089,0.15
662,172181.0,1090,11.0
663,172181.0,1091,190.0
664,172181.0,1092,137.0
665,172181.0,1093,372.0
666,172181.0,1095,0.47
667,172181.0,1098,0.03
668,172181.0,1103,9.4
670,172181.0,1106,2.0
673,172181.0,1109,0.01
674,172181.0,1114,0.0
676,172181.0,1122,0.0
677,172181.0,1123,0.0
678,172181.0,1162,0.0
679,172181.0,1165,0.023
680,172181.0,1166,0.226
681,172181.0,1167,0.144
682,172181.0,1175,0.016
683,172181.0,1177,9.0
684,172181.0,1178,0.46
685,172181.0,1180,17.9
686,172181.0,1185,0.0
690,172181.0,1242,0.0
691,172181.0,1246,0.0
692,172181.0,1253,7.0
693,172181.0,1258,0.169
706,172181.0,1272,0.0
710,172181.0,1278,0.0
713,172181.0,1292,0.079
714,172181.0,1293,0.003
715,328841.0,1003,11.0
716,328841.0,1004,2.3
717,328841.0,1005,4.31
718,328841.0,1008,84.0
720,328841.0,1051,81.1
724,172182.0,1079,0.0
725,328841.0,1087,103.0
726,328841.0,1089,0.13
727,328841.0,1090,8.9
728,328841.0,1091,148.0
729,328841.0,1092,120.0
730,328841.0,1093,321.0
731,328841.0,1095,0.61
732,328841.0,1098,0.03
733,328841.0,1103,14.6
735,328841.0,1106,69.0
738,328841.0,1109,0.08
739,172182.0,1114,0.0
741,172182.0,1122,0.0
742,172182.0,1123,0.0
